step,src,dst,val
511,53,57,0.813588559627533
512,53,60,0.81351637840271
511,53,54,0.81062912940979
511,53,55,0.7898308634757996
512,53,61,0.7864781618118286
512,54,61,0.8045599460601807
512,54,59,0.7851670980453491
511,54,56,0.7784134745597839
511,54,58,0.7517895102500916
511,54,55,0.7471542358398438
511,54,57,0.7364603877067566
512,54,62,0.72459876537323
519,54,94,0.7204622626304626
511,55,58,0.8503046631813049
512,55,59,0.8436747193336487
512,55,60,0.8196242451667786
511,55,57,0.7991790771484375
512,55,61,0.7989895343780518
511,55,56,0.7976987361907959
512,55,62,0.7767966985702515
519,55,94,0.6923754811286926
512,56,59,0.8614081144332886
512,56,62,0.822840690612793
512,56,60,0.8179423809051514
512,56,61,0.8096435070037842
511,56,58,0.8061494827270508
511,56,57,0.7968356609344482
518,56,93,0.6865968108177185
519,56,94,0.6852889060974121
512,57,60,0.8495665788650513
512,57,61,0.8249765634536743
511,57,58,0.799266517162323
512,57,59,0.7965450286865234
512,57,62,0.7937970757484436
519,57,94,0.6947941780090332
518,57,93,0.693464994430542
518,57,92,0.681801974773407
512,58,59,0.9129459261894226
512,58,61,0.8148111701011658
512,58,60,0.78572678565979
512,58,62,0.7611295580863953
519,58,94,0.6303173303604126
518,58,93,0.6282331943511963
518,58,92,0.61129230260849
517,58,84,0.4934677481651306
512,59,61,0.8209702968597412
512,59,62,0.8107700943946838
512,59,60,0.797913670539856
519,59,94,0.6815938949584961
518,59,93,0.6799776554107666
518,59,92,0.6618773341178894
517,59,84,0.4866025149822235
517,59,85,0.4866025149822235
512,60,61,0.8249976634979248
512,60,62,0.8038467168807983
519,60,94,0.718491792678833
518,60,93,0.7176543474197388
518,60,92,0.7105816602706909
517,60,84,0.5530490875244141
517,60,85,0.5530490875244141
512,61,62,0.8195086717605591
519,61,94,0.6906352043151855
518,61,93,0.6877586841583252
518,61,92,0.6764174699783325
517,61,84,0.5288907289505005
517,61,85,0.5288907289505005
519,62,94,0.6660124659538269
518,62,93,0.6655206680297852
518,62,92,0.6463786363601685
514,62,70,0.5889483690261841
513,62,67,0.5851250290870667
514,63,72,0.9883993268013
513,63,65,0.9810796976089478
513,63,64,0.979925274848938
514,63,71,0.9785387516021729
513,63,68,0.9780069589614868
514,63,70,0.9754912257194519
514,63,69,0.9721900820732117
513,63,66,0.9720641374588013
513,64,68,0.9846381545066833
514,64,70,0.9844675064086914
513,64,65,0.983929455280304
514,64,71,0.9835149645805359
513,64,67,0.9816497564315796
513,64,66,0.981473445892334
514,64,69,0.9809024333953857
514,64,72,0.9797391891479492
513,65,68,0.9865447282791138
514,65,70,0.9851416349411011
514,65,71,0.984744668006897
513,65,67,0.984160304069519
513,65,66,0.9823430776596069
514,65,69,0.9820052981376648
514,65,72,0.9775402545928955
515,65,74,0.9718941450119019
516,66,81,0.9889733791351318
513,66,68,0.9838087558746338
514,66,71,0.9833908081054688
514,66,70,0.9833871722221375
513,66,67,0.9829594492912292
514,66,69,0.9801342487335205
514,66,72,0.9712108969688416
515,66,78,0.9698894023895264
513,67,68,0.9883960485458374
514,67,71,0.9863858222961426
514,67,70,0.9862515330314636
514,67,69,0.9822693467140198
515,67,78,0.9746698141098022
514,67,72,0.9734765291213989
515,67,74,0.9719729423522949
515,67,75,0.9719729423522949
516,68,82,0.9898315668106079
514,68,71,0.9896068572998047
514,68,70,0.9893351793289185
514,68,69,0.9847139120101929
515,68,78,0.978269636631012
515,68,74,0.977523148059845
515,68,75,0.977523148059845
515,68,76,0.977523148059845
516,69,83,0.9891433119773865
514,69,70,0.9850635528564453
514,69,71,0.984275221824646
514,69,72,0.9745684862136841
516,69,80,0.9690895080566406
515,69,74,0.9683213233947754
515,69,75,0.9683213233947754
515,69,76,0.9683213233947754
514,70,71,0.9904168844223022
515,70,74,0.974138081073761
515,70,75,0.974138081073761
515,70,76,0.974138081073761
515,70,77,0.974138081073761
514,70,72,0.9710602164268494
515,70,78,0.9709665179252625
514,70,73,0.969842791557312
514,71,73,0.9825318455696106
515,71,74,0.9759795665740967
515,71,75,0.9759795665740967
515,71,76,0.9759795665740967
515,71,77,0.9759795665740967
514,71,72,0.9749395847320557
515,71,78,0.9728444814682007
516,71,82,0.9704113602638245
515,72,74,0.9695214033126831
515,72,75,0.9695214033126831
515,72,76,0.9695214033126831
515,72,77,0.9695214033126831
515,72,78,0.9658596515655518
514,72,73,0.9646344184875488
516,72,79,0.9630739688873291
516,72,82,0.9591544270515442
515,73,74,0.97727370262146
515,73,75,0.97727370262146
515,73,76,0.97727370262146
515,73,77,0.97727370262146
515,73,78,0.9662977457046509
516,73,79,0.9592446088790894
516,73,82,0.9578639268875122
516,73,80,0.9540585279464722
515,74,75,1.0
515,74,76,1.0
515,74,77,1.0
516,74,79,0.9777736663818359
515,74,78,0.9774146676063538
516,74,82,0.9662993550300598
516,74,80,0.9594752788543701
515,75,76,1.0
515,75,77,1.0
516,75,79,0.9777736663818359
515,75,78,0.9774146676063538
516,75,82,0.9662993550300598
516,75,80,0.9594752788543701
515,76,77,1.0
516,76,79,0.9777736663818359
515,76,78,0.9774146676063538
516,76,82,0.9662993550300598
516,76,80,0.9594752788543701
516,77,79,0.9777736663818359
515,77,78,0.9774146676063538
516,77,82,0.9662993550300598
516,77,80,0.9594752788543701
516,78,79,0.9700391292572021
516,78,80,0.9699503779411316
516,78,82,0.9690558910369873
516,79,82,0.9667617082595825
516,79,80,0.9593580961227417
516,80,83,0.9593902230262756
516,81,82,0.9483368396759033
516,82,83,0.957709789276123
517,84,85,1.0000001192092896
517,84,86,1.0000001192092896
517,84,87,1.0000001192092896
517,85,86,1.0000001192092896
517,85,87,1.0000001192092896
517,86,87,1.0000001192092896
518,88,89,0.9705458879470825
518,88,90,0.967247486114502
518,88,91,0.9277421236038208
518,89,91,0.9699759483337402
518,89,90,0.9445813894271851
518,90,91,0.9633366465568542
518,92,93,0.996337890625
519,92,94,0.9949285984039307
519,93,94,0.9979828596115112
